v,t,filtered_v
0.00016,0.0,0.162231
6e-05,0.004,0.061774
0.00012,0.008,0.115309
0.00021,0.012001,0.209841
0.00018,0.016001,0.184988
0.00018,0.020001,0.175234
0.00018,0.024001,0.183888
0.0002,0.028001,0.198173
0.00023,0.032001,0.233368
0.00025,0.036002,0.25402
0.0001,0.040002,0.096912
0.00012,0.044002,0.122401
0.00018,0.048002,0.177779
0.00024,0.052002,0.237211
0.00026,0.056002,0.264206
0.00025,0.060003,0.24628
0.00023,0.064003,0.226591
0.00025,0.068003,0.248288
0.00025,0.072003,0.245658
0.00025,0.076003,0.25029
0.00023,0.080004,0.228386
0.00038,0.084004,0.378824
0.00034,0.088004,0.338803
0.00048,0.092004,0.479434
0.00103,0.096004,1.027578
0.00156,0.100004,1.563693
0.00097,0.104005,0.974514
0.00042,0.108005,0.417409
0.00038,0.112005,0.381435
0.00036,0.116005,0.362868
0.00034,0.120005,0.338713
0.00033,0.124006,0.332947
0.00037,0.128006,0.3711
0.00031,0.132006,0.30947
0.00033,0.136006,0.327943
0.0004,0.140006,0.395001
0.00033,0.144006,0.326146
0.00041,0.148007,0.407522
0.00024,0.152007,0.236274
0.00034,0.156007,0.344946
0.00043,0.160007,0.43186
0.0003,0.164007,0.29819
0.00034,0.168007,0.341827
0.00041,0.172008,0.41088
0.00038,0.176008,0.384039
0.00046,0.180008,0.463525
0.00037,0.184008,0.368162
0.0003,0.188008,0.29993
0.00027,0.192009,0.274733
0.00036,0.196009,0.364438
0.00038,0.200009,0.380459
0.00048,0.204009,0.475948
0.00041,0.208009,0.405223
0.00037,0.212009,0.371625
0.00039,0.21601,0.385349
0.00033,0.22001,0.332307
0.00027,0.22401,0.269903
0.00035,0.22801,0.345492
0.00047,0.23201,0.467452
0.00034,0.23601,0.344782
0.00038,0.240011,0.377757
0.00041,0.244011,0.413808
0.00033,0.248011,0.334113
0.00033,0.252011,0.328184
0.00038,0.256011,0.379585
0.00029,0.260012,0.294533
0.00044,0.264012,0.442727
0.00029,0.268012,0.290835
0.00035,0.272012,0.348349
0.00035,0.276012,0.352174
0.00039,0.280012,0.392664
0.00035,0.284013,0.345089
0.00039,0.288013,0.394584
0.00032,0.292013,0.321398
0.00041,0.296013,0.405538
0.00035,0.300013,0.35331
0.00034,0.304014,0.343078
0.00027,0.308014,0.26714
0.00042,0.312014,0.421566
0.00029,0.316014,0.292065
0.00027,0.320014,0.269084
0.00033,0.324014,0.325914
0.00026,0.328015,0.261662
0.0002,0.332015,0.200966
0.0003,0.336015,0.304315
0.0003,0.340015,0.296628
0.00028,0.344015,0.278194
0.00026,0.348015,0.258021
0.00023,0.352016,0.228382
0.00033,0.356016,0.332537
0.00023,0.360016,0.227039
0.00024,0.364016,0.242432
0.00019,0.368016,0.19001
0.00025,0.372017,0.253916
0.00013,0.376017,0.129021
0.00021,0.380017,0.213848
0.00018,0.384017,0.180572
0.00012,0.388017,0.121836
0.0001,0.392017,0.097188
9e-05,0.396018,0.086686
0.00017,0.400018,0.167732
0.00013,0.404018,0.132005
0.00011,0.408018,0.113237
0.00011,0.412018,0.106733
0.0001,0.416018,0.104413
8e-05,0.420019,0.080722
0.0001,0.424019,0.096803
8e-05,0.428019,0.075396
2e-05,0.432019,0.023432
7e-05,0.436019,0.074996
0.00012,0.44002,0.116801
3e-05,0.44402,0.03136
6e-05,0.44802,0.058389
-9e-05,0.45202,-0.089167
-1e-05,0.45602,-0.009208
-6e-05,0.46002,-0.063511
-6e-05,0.464021,-0.064273
-2e-05,0.468021,-0.018421
-2e-05,0.472021,-0.02053
-0.00011,0.476021,-0.110447
-0.0,0.480021,-0.000166
-8e-05,0.484022,-0.083159
-0.00013,0.488022,-0.131091
-0.0001,0.492022,-0.104834
-0.00017,0.496022,-0.173108
-0.00016,0.500022,-0.159317
-0.00016,0.504022,-0.15733
-0.00012,0.508023,-0.123968
-0.00024,0.512023,-0.240896
-0.00018,0.516023,-0.179524
-0.00011,0.520023,-0.113421
-0.00018,0.524023,-0.178589
-0.00015,0.528023,-0.152167
-0.00021,0.532024,-0.213951
-0.0002,0.536024,-0.196253
-0.00018,0.540024,-0.179773
-0.00021,0.544024,-0.214256
-0.00021,0.548024,-0.206633
-0.00023,0.552025,-0.226762
-0.00026,0.556025,-0.261064
-0.00025,0.560025,-0.252686
-0.0003,0.564025,-0.302732
-0.00024,0.568025,-0.243712
-0.00024,0.572025,-0.243282
-0.00023,0.576026,-0.226991
-0.0003,0.580026,-0.295389
-0.00022,0.584026,-0.21981
-0.00031,0.588026,-0.30562
-0.00036,0.592026,-0.355866
-0.00023,0.596026,-0.233276
-0.00036,0.600027,-0.360834
-0.00033,0.604027,-0.334739
-0.00026,0.608027,-0.259373
-0.00026,0.612027,-0.258882
-0.00036,0.616027,-0.364605
-0.00035,0.620028,-0.354293
-0.00038,0.624028,-0.383463
-0.00029,0.628028,-0.293574
-0.0003,0.632028,-0.295629
-0.00027,0.636028,-0.273597
-0.00029,0.640028,-0.2943
-0.0003,0.644029,-0.303526
-0.00038,0.648029,-0.382099
-0.00033,0.652029,-0.332775
-0.00041,0.656029,-0.41016
-0.00041,0.660029,-0.411215
-0.00034,0.66403,-0.343692
-0.00037,0.66803,-0.371685
-0.00027,0.67203,-0.273563
-0.00036,0.67603,-0.359888
-0.00041,0.68003,-0.413782
-0.00036,0.68403,-0.357369
-0.00033,0.688031,-0.334954
-0.00038,0.692031,-0.378996
-0.00042,0.696031,-0.416291
-0.00042,0.700031,-0.418506
-0.00041,0.704031,-0.406306
-0.00038,0.708031,-0.380698
-0.00048,0.712032,-0.479889
-0.00042,0.716032,-0.418455
-0.00029,0.720032,-0.286965
-0.0004,0.724032,-0.395659
-0.00043,0.728032,-0.42767
-0.00039,0.732033,-0.390301
-0.00041,0.736033,-0.407255
-0.00039,0.740033,-0.389832
-0.00028,0.744033,-0.277898
-0.00042,0.748033,-0.423012
-0.00039,0.752033,-0.394242
-0.00039,0.756034,-0.386372
-0.00038,0.760034,-0.379096
-0.0004,0.764034,-0.395143
-0.00044,0.768034,-0.43823
-0.00033,0.772034,-0.332011
-0.00031,0.776034,-0.311315
-0.00025,0.780035,-0.249638
-0.00029,0.784035,-0.29333
-0.00033,0.788035,-0.332451
-0.00033,0.792035,-0.327852
-0.00036,0.796035,-0.358104
-0.0003,0.800036,-0.301055
-0.00026,0.804036,-0.260703
-0.00029,0.808036,-0.288649
-0.00043,0.812036,-0.428835
-0.0003,0.816036,-0.299312
-0.00028,0.820036,-0.276987
-0.00027,0.824037,-0.270879
-0.00028,0.828037,-0.277421
-0.00022,0.832037,-0.224183
-0.00021,0.836037,-0.21352
-0.00027,0.840037,-0.268984
-0.00025,0.844038,-0.245415
-0.00027,0.848038,-0.267029
-0.00028,0.852038,-0.279148
-0.00018,0.856038,-0.179588
-0.00025,0.860038,-0.245549
-0.00017,0.864038,-0.172222
-0.00018,0.868039,-0.183175
-0.00021,0.872039,-0.206158
-0.00019,0.876039,-0.192104
-0.00017,0.880039,-0.169744
-0.00017,0.884039,-0.172132
-0.00018,0.888039,-0.178225
-0.00016,0.89204,-0.157584
-8e-05,0.89604,-0.082917
-0.00012,0.90004,-0.115095
-9e-05,0.90404,-0.091898
-6e-05,0.90804,-0.063852
-0.0001,0.912041,-0.103685
-0.0001,0.916041,-0.10183
-4e-05,0.920041,-0.039405
-3e-05,0.924041,-0.033968
-0.0,0.928041,-0.002458
-1e-05,0.932041,-0.014916
-0.0001,0.936042,-0.101784
-5e-05,0.940042,-0.053048
1e-05,0.944042,0.005753
4e-05,0.948042,0.03655
-0.00011,0.952042,-0.106871
2e-05,0.956042,0.023816
8e-05,0.960043,0.075541
-4e-05,0.964043,-0.042417
3e-05,0.968043,0.029048
0.00014,0.972043,0.137172
8e-05,0.976043,0.076073
5e-05,0.980044,0.052484
6e-05,0.984044,0.064332
0.00012,0.988044,0.124024
7e-05,0.992044,0.072837
0.00019,0.996044,0.188908
-4e-05,1.000044,-0.042737
0.00014,1.004045,0.140026
0.00021,1.008045,0.214061
0.00015,1.012045,0.150407
0.00016,1.016045,0.158537
0.00013,1.020045,0.125088
0.00011,1.024046,0.113791
0.00016,1.028046,0.160403
0.00012,1.032046,0.123923
0.00024,1.036046,0.235462
0.00013,1.040046,0.125914
0.00019,1.044046,0.193332
0.00015,1.048047,0.145118
0.00022,1.052047,0.223337
0.00023,1.056047,0.225566
0.00027,1.060047,0.27231
0.00032,1.064047,0.319699
0.0003,1.068047,0.29938
0.00033,1.072048,0.325653
0.00023,1.076048,0.234439
0.00023,1.080048,0.234435
0.0003,1.084048,0.303417
0.00027,1.088048,0.265661
0.00034,1.092049,0.341786
0.00099,1.096049,0.987174
0.00155,1.100049,1.553449
0.00095,1.104049,0.947764
0.00042,1.108049,0.420989
0.00029,1.112049,0.292391
0.00031,1.11605,0.310977
0.00039,1.12005,0.386603
0.0003,1.12405,0.303101
0.00031,1.12805,0.308111
0.00031,1.13205,0.305196
0.00036,1.13605,0.364527
0.0003,1.140051,0.295907
0.00027,1.144051,0.274019
0.0004,1.148051,0.397491
0.00036,1.152051,0.358983
0.00035,1.156051,0.345123
0.00042,1.160052,0.415443
0.00033,1.164052,0.331499
0.00052,1.168052,0.519209
0.00044,1.172052,0.436824
0.00037,1.176052,0.368307
0.00036,1.180052,0.362778
0.00042,1.184053,0.41768
0.00041,1.188053,0.4093
0.00035,1.192053,0.348681
0.0004,1.196053,0.403219
0.00039,1.200053,0.390669
0.00035,1.204054,0.351356
0.00032,1.208054,0.316606
0.00044,1.212054,0.444147
0.00036,1.216054,0.355253
0.00045,1.220054,0.446854
0.00026,1.224054,0.259274
0.00028,1.228055,0.280806
0.00037,1.232055,0.366912
0.00032,1.236055,0.322985
0.00042,1.240055,0.420066
0.00034,1.244055,0.341775
0.00026,1.248055,0.259757
0.00042,1.252056,0.416201
0.00034,1.256056,0.336653
0.00038,1.260056,0.383977
0.00033,1.264056,0.331484
0.00036,1.268056,0.360698
0.00034,1.272057,0.343402
0.00041,1.276057,0.408636
0.00028,1.280057,0.280404
0.00037,1.284057,0.370575
0.00041,1.288057,0.410851
0.00035,1.292057,0.349908
0.00031,1.296058,0.314238
0.00037,1.300058,0.371605
0.0003,1.304058,0.297015
