timestamp,accel_x,accel_y,accel_z,magnitude,status
22:00:00,0.4918,-0.3835,0.7115,0.1058,Moving
22:00:02,0.5349,-0.3714,0.7203,0.1006,Moving
22:00:04,0.4808,-0.3151,0.5961,0.1048,Moving
22:00:06,0.4875,-0.4309,0.6451,0.1037,Moving
22:00:08,0.4763,-0.3286,0.7094,0.1092,Moving
22:00:10,0.4845,-0.3737,0.7051,0.1007,Moving
22:00:12,0.5312,-0.3981,0.6712,0.1154,Moving
22:00:14,0.498,-0.4725,0.7643,0.1016,Moving
22:00:16,0.49,-0.4292,0.7004,0.123,Moving
22:00:18,0.5875,-0.4465,0.6446,0.1058,Moving
22:00:20,0.5094,-0.3416,0.7884,0.1031,Moving
22:00:22,0.4961,-0.3622,0.6963,0.1039,Moving
22:00:24,0.5671,-0.4199,0.6213,0.1021,Moving
22:00:26,0.5558,-0.3527,0.7176,0.1072,Moving
22:00:28,0.425,-0.3889,0.7808,0.1026,Moving
22:00:30,0.5545,-0.4231,0.6464,0.1119,Moving
22:00:32,0.5131,-0.4266,0.6864,0.1114,Moving
22:00:34,0.3948,-0.4145,0.598,0.1043,Moving
22:00:36,0.467,-0.3475,0.6366,0.1133,Moving
22:00:38,0.5414,-0.3413,0.6556,0.1041,Moving
22:00:40,0.4684,-0.4164,0.7141,0.1036,Moving
22:00:42,0.3341,-0.464,0.6577,0.1198,Moving
22:00:44,0.5297,-0.39,0.7064,0.1001,Moving
22:00:46,0.4464,-0.4483,0.7753,0.1011,Moving
22:00:48,0.538,-0.3726,0.749,0.108,Moving
22:00:50,0.521,-0.3461,0.6616,0.1003,Moving
22:00:52,0.5128,-0.3718,0.6451,0.1029,Moving
22:00:54,0.4758,-0.4556,0.6755,0.1255,Moving
22:00:56,0.5294,-0.3527,0.7274,0.1194,Moving
22:00:58,0.4557,-0.4212,0.6614,0.1109,Moving
22:01:00,0.4911,-0.4305,0.6837,0.1017,Moving
22:01:02,0.391,-0.402,0.6982,0.1248,Moving
22:01:04,0.399,-0.4892,0.6824,0.1237,Moving
22:01:06,0.4772,-0.4262,0.7787,0.1076,Moving
22:01:08,0.5165,-0.419,0.7255,0.1165,Moving
22:01:10,0.4643,-0.5218,0.6816,0.1045,Moving
22:01:12,0.5159,-0.4855,0.6004,0.1102,Moving
22:01:14,0.4516,-0.3347,0.6878,0.1015,Moving
22:01:16,0.5319,-0.4462,0.7319,0.1109,Moving
22:01:18,0.4672,-0.4024,0.7176,0.1016,Moving
22:01:20,0.5464,-0.4333,0.7557,0.1231,Moving
22:01:22,0.5229,-0.3717,0.7376,0.1092,Moving
22:01:24,0.5284,-0.4182,0.6846,0.1099,Moving
22:01:26,0.3998,-0.4851,0.8052,0.1047,Moving
22:01:28,0.5559,-0.3002,0.7321,0.1124,Moving
22:01:30,0.4615,-0.4411,0.7239,0.1074,Moving
22:01:32,0.5344,-0.2844,0.705,0.1038,Moving
22:01:34,0.5176,-0.3226,0.6407,0.1132,Moving
22:01:36,0.5401,-0.4255,0.7798,0.1051,Moving
22:01:38,0.459,-0.306,0.7642,0.12,Moving
22:01:40,0.4826,-0.3862,0.6998,0.1013,Moving
22:01:42,0.5587,-0.4188,0.6666,0.1002,Moving
22:01:44,0.4193,-0.3007,0.7022,0.1144,Moving
22:01:46,0.5366,-0.3449,0.6614,0.1028,Moving
22:01:48,0.489,-0.2847,0.6391,0.1073,Moving
22:01:50,0.4181,-0.3838,0.6322,0.1225,Moving
22:01:52,0.5701,-0.3944,0.6811,0.1363,Moving
22:01:54,0.5616,-0.3765,0.6978,0.124,Moving
22:01:56,0.4246,-0.4338,0.72,0.1036,Moving
22:01:58,0.5182,-0.4489,0.7239,0.1013,Moving
22:02:00,0.5215,-0.3552,0.755,0.1012,Moving
22:02:02,0.5293,-0.4594,0.662,0.115,Moving
22:02:04,0.4476,-0.4168,0.7033,0.1126,Moving
22:02:06,0.4546,-0.4459,0.6731,0.1475,Moving
22:02:08,0.5228,-0.4673,0.7335,0.105,Moving
22:02:10,0.4975,-0.3397,0.6988,0.1047,Moving
22:02:12,0.5444,-0.4738,0.7233,0.1428,Moving
22:02:14,0.4639,-0.3923,0.7457,0.1065,Moving
22:02:16,0.3907,-0.347,0.6821,0.107,Moving
22:02:18,0.514,-0.3637,0.7309,0.1281,Moving
22:02:20,0.4418,-0.326,0.7114,0.1,Moving
22:02:22,0.425,-0.4279,0.6383,0.1041,Moving
22:02:24,0.5344,-0.4121,0.6505,0.1076,Moving
22:02:26,0.4111,-0.4534,0.7125,0.1034,Moving
22:02:28,0.5292,-0.4323,0.6367,0.1402,Moving
22:02:30,0.4812,-0.4472,0.7393,0.1077,Moving
22:02:32,0.6161,-0.5312,0.6216,0.1051,Moving
22:02:34,0.4443,-0.4427,0.7947,0.1148,Moving
22:02:36,0.5181,-0.4212,0.5996,0.1015,Moving
22:02:38,0.4529,-0.349,0.6121,0.1061,Moving
22:02:40,0.4933,-0.4367,0.7317,0.1148,Moving
22:02:42,0.6148,-0.3627,0.7742,0.1177,Moving
22:02:44,0.4782,-0.4415,0.7417,0.1521,Moving
22:02:46,0.4662,-0.4373,0.7008,0.1025,Moving
22:02:48,0.463,-0.3771,0.6134,0.1157,Moving
22:02:50,0.4301,-0.369,0.6919,0.1002,Moving
22:02:52,0.4537,-0.4401,0.7409,0.1312,Moving
22:02:54,0.4548,-0.4145,0.6999,0.1088,Moving
22:02:56,0.4918,-0.4434,0.6645,0.1001,Moving
22:02:58,0.4696,-0.4438,0.7072,0.1203,Moving
22:03:00,0.4389,-0.4404,0.6196,0.1032,Moving
22:03:02,0.512,-0.4037,0.68,0.1146,Moving
22:03:04,0.4583,-0.4502,0.655,0.1084,Moving
22:03:06,0.5186,-0.4394,0.7201,0.1004,Moving
22:03:08,0.5004,-0.4061,0.6098,0.1016,Moving
22:03:10,0.532,-0.4962,0.6488,0.1314,Moving
22:03:12,0.4359,-0.3763,0.6518,0.1041,Moving
22:03:14,0.4784,-0.4514,0.73,0.1171,Moving
22:03:16,0.4894,-0.4362,0.6109,0.1191,Moving
22:03:18,0.5148,-0.44,0.69,0.1199,Moving
22:03:20,0.545,-0.3824,0.6913,0.1044,Moving
22:03:22,0.5074,-0.3508,0.71,0.1024,Moving
22:03:24,0.534,-0.4154,0.6518,0.1028,Moving
22:03:26,0.4923,-0.4335,0.6777,0.1017,Moving
22:03:28,0.4508,-0.442,0.6435,0.1198,Moving
22:03:30,0.4538,-0.4801,0.6543,0.1002,Moving
22:03:32,0.4952,-0.4375,0.6122,0.1055,Moving
22:03:34,0.5593,-0.4109,0.679,0.1023,Moving
22:03:36,0.547,-0.3504,0.7091,0.1004,Moving
22:03:38,0.5753,-0.4582,0.7516,0.1028,Moving
22:03:40,0.5356,-0.3512,0.7473,0.1235,Moving
22:03:42,0.4479,-0.4348,0.6599,0.1056,Moving
22:03:44,0.5086,-0.4244,0.6722,0.1045,Moving
22:03:46,0.4371,-0.3908,0.7155,0.1054,Moving
22:03:48,0.4475,-0.3492,0.6997,0.1018,Moving
22:03:50,0.4333,-0.4497,0.6967,0.1146,Moving
22:03:52,0.4938,-0.4247,0.7428,0.1017,Moving
22:03:54,0.5617,-0.3917,0.679,0.1039,Moving
22:03:56,0.4456,-0.3906,0.7143,0.1151,Moving
22:03:58,0.4261,-0.441,0.7665,0.1225,Moving
22:04:00,0.5088,-0.4483,0.6586,0.1159,Moving
22:04:02,0.4416,-0.3287,0.6957,0.1061,Moving
22:04:04,0.5107,-0.4182,0.7326,0.124,Moving
22:04:06,0.5119,-0.3913,0.6678,0.1001,Moving
22:04:08,0.4124,-0.4254,0.7477,0.1092,Moving
22:04:10,0.5197,-0.3828,0.6987,0.1238,Moving
22:04:12,0.5136,-0.387,0.646,0.1081,Moving
22:04:14,0.5878,-0.4253,0.6542,0.1057,Moving
22:04:16,0.5418,-0.4075,0.6676,0.1054,Moving
22:04:18,0.5399,-0.4598,0.6873,0.1156,Moving
22:04:20,0.4621,-0.3899,0.6973,0.1003,Moving
22:04:22,0.5015,-0.4155,0.733,0.1123,Moving
22:04:24,0.6517,-0.4104,0.6547,0.1006,Moving
22:04:26,0.4176,-0.4214,0.6361,0.105,Moving
22:04:28,0.493,-0.3971,0.6904,0.1041,Moving
22:04:30,0.5382,-0.4294,0.6682,0.1215,Moving
22:04:32,0.5385,-0.5168,0.7669,0.105,Moving
22:04:34,0.5196,-0.4327,0.6097,0.1057,Moving
22:04:36,0.5222,-0.3173,0.6262,0.1384,Moving
22:04:38,0.538,-0.4056,0.6859,0.1042,Moving
22:04:40,0.5076,-0.459,0.681,0.1068,Moving
22:04:42,0.4979,-0.4224,0.7162,0.1032,Moving
22:04:44,0.5283,-0.3765,0.6739,0.1176,Moving
22:04:46,0.5649,-0.4141,0.7404,0.1033,Moving
22:04:48,0.434,-0.4366,0.715,0.1087,Moving
22:04:50,0.5505,-0.3505,0.6958,0.1365,Moving
22:04:52,0.4934,-0.3532,0.6832,0.108,Moving
